No,Question,Answer
1,"Apa itu Program Studi Informatika UMM?","Program Studi Informatika UMM adalah program pendidikan tinggi di bidang teknologi informasi dan komputer yang berada di bawah naungan Universitas Muhammadiyah Malang. Program ini menyelenggarakan pendidikan sarjana (S1) dalam bidang informatika dan teknologi komputer."
2,"Dimana lokasi Program Studi Informatika UMM?","Program Studi Informatika UMM berlokasi di Universitas Muhammadiyah Malang, Jalan Raya Tlogomas No. 246, Tlogomas, Lowokwaru, Kota Malang, Jawa Timur."
3,"Apa visi Program Studi Informatika UMM?","Visi Program Studi Informatika UMM adalah menjadi program studi yang unggul dalam bidang informatika dan teknologi informasi yang berlandaskan nilai-nilai Islam untuk kemajuan bangsa dan negara."
4,"Apa misi Program Studi Informatika UMM?","Misi Program Studi Informatika UMM meliputi: menyelenggarakan pendidikan tinggi berkualitas, mengembangkan penelitian inovatif, melaksanakan pengabdian masyarakat, dan menghasilkan lulusan yang kompeten di bidang informatika."
5,"Mata kuliah apa saja yang dipelajari di Informatika UMM?","Mata kuliah di Informatika UMM meliputi Algoritma dan Pemrograman, Struktur Data, Basis Data, Jaringan Komputer, Rekayasa Perangkat Lunak, Kecerdasan Buatan, Sistem Operasi, Pemrograman Web, Mobile Programming, dan mata kuliah lainnya sesuai kurikulum terkini."
6,"Berapa lama masa studi di Program Studi Informatika UMM?","Masa studi normal di Program Studi Informatika UMM adalah 4 tahun (8 semester) untuk menyelesaikan program sarjana (S1) dengan total 144-150 SKS."
7,"Apa gelar yang diperoleh lulusan Informatika UMM?","Lulusan Program Studi Informatika UMM akan memperoleh gelar Sarjana Komputer (S.Kom)."
8,"Bagaimana cara mendaftar di Program Studi Informatika UMM?","Pendaftaran dapat dilakukan melalui jalur SNPMB, Seleksi Mandiri UMM, atau jalur lainnya sesuai ketentuan yang berlaku. Informasi lengkap dapat diperoleh melalui website resmi UMM atau langsung menghubungi bagian admisi."
9,"Apa saja fasilitas yang tersedia di Program Studi Informatika UMM?","Fasilitas meliputi laboratorium komputer, laboratorium jaringan, laboratorium multimedia, perpustakaan digital, akses internet, ruang kuliah ber-AC, dan fasilitas pendukung pembelajaran lainnya."
10,"Siapa saja dosen di Program Studi Informatika UMM?","Program Studi Informatika UMM memiliki dosen-dosen berkualifikasi S2 dan S3 dari berbagai universitas ternama dengan keahlian di bidang informatika, teknologi informasi, dan bidang terkait."
11,"Apa saja prospek karir lulusan Informatika UMM?","Lulusan dapat bekerja sebagai software developer, system analyst, database administrator, network administrator, IT consultant, data scientist, mobile app developer, web developer, atau berwirausaha di bidang teknologi."
12,"Apakah ada program magang di Informatika UMM?","Ya, Program Studi Informatika UMM menyelenggarakan program magang atau praktik kerja lapangan (PKL) di perusahaan-perusahaan teknologi untuk memberikan pengalaman kerja nyata kepada mahasiswa."
13,"Bagaimana sistem pembelajaran di Informatika UMM?","Sistem pembelajaran menggunakan kombinasi teori dan praktik, dengan metode kuliah, praktikum laboratorium, project-based learning, dan penggunaan teknologi pembelajaran terkini."
14,"Apakah ada beasiswa di Program Studi Informatika UMM?","UMM menyediakan berbagai program beasiswa seperti beasiswa prestasi akademik, beasiswa ekonomi, beasiswa tahfidz, dan beasiswa dari pihak eksternal untuk mendukung mahasiswa berprestasi."
15,"Apa saja organisasi mahasiswa di Informatika UMM?","Terdapat Himpunan Mahasiswa Program Studi (HIMAPS) Informatika dan berbagai unit kegiatan mahasiswa (UKM) yang dapat diikuti untuk mengembangkan soft skills dan leadership."
16,"Bagaimana akreditasi Program Studi Informatika UMM?","Program Studi Informatika UMM telah terakreditasi dengan baik oleh BAN-PT sesuai standar nasional pendidikan tinggi Indonesia."
17,"Apakah ada program pertukaran mahasiswa?","UMM memiliki program kerjasama dengan universitas lain baik dalam negeri maupun luar negeri untuk program pertukaran mahasiswa dan berbagai aktivitas akademik internasional."
18,"Bagaimana cara menghubungi Program Studi Informatika UMM?","Dapat menghubungi melalui website resmi informatika.umm.ac.id, email, telepon, atau datang langsung ke kampus UMM di Jalan Raya Tlogomas No. 246, Malang."
19,"Apa saja kegiatan ekstrakurikuler di bidang informatika?","Kegiatan meliputi lomba programming, hackathon, seminar teknologi, workshop, pelatihan sertifikasi, dan proyek pengembangan aplikasi bersama industri."
20,"Apakah ada program double degree?","UMM memiliki program kerjasama dengan universitas lain yang memungkinkan mahasiswa mendapatkan gelar ganda sesuai dengan ketentuan yang berlaku."
21,"Bagaimana sistem evaluasi dan penilaian?","Sistem penilaian menggunakan kombinasi UTS, UAS, tugas, praktikum, project, dan partisipasi kelas dengan skala nilai A-E sesuai standar pendidikan tinggi."
22,"Apa saja penelitian yang dilakukan dosen Informatika UMM?","Penelitian meliputi bidang artificial intelligence, data mining, computer vision, human-computer interaction, software engineering, cybersecurity, dan teknologi informasi terapan."
23,"Apakah ada program sertifikasi tambahan?","Program studi bekerja sama dengan industri untuk menyediakan program sertifikasi tambahan seperti sertifikasi vendor teknologi tertentu untuk meningkatkan kompetensi mahasiswa."
